algorithm,word,n_guesses
PositionalExplorerAmongstPossible,BELLE,3
PositionalExplorerAmongstPossible,BELLS,5
PositionalExplorerAmongstPossible,BELLY,4
PositionalExplorerAmongstPossible,BELOW,3
PositionalExplorerAmongstPossible,BELTS,3
PositionalExplorerAmongstPossible,BENCH,2
PositionalExplorerAmongstPossible,BENDS,4
PositionalExplorerAmongstPossible,BENET,3
PositionalExplorerAmongstPossible,BENIN,4
PositionalExplorerAmongstPossible,BENNY,4
PositionalExplorerAmongstPossible,BENTS,3
PositionalExplorerAmongstPossible,BERET,4
PositionalExplorerAmongstPossible,BERGS,3
PositionalExplorerAmongstPossible,BERIA,2
PositionalExplorerAmongstPossible,BERLE,4
PositionalExplorerAmongstPossible,BERMS,2
PositionalExplorerAmongstPossible,BERNE,5
PositionalExplorerAmongstPossible,BERRA,4
PositionalExplorerAmongstPossible,BERRY,5
PositionalExplorerAmongstPossible,BERTA,3
PositionalExplorerAmongstPossible,BERTH,4
PositionalExplorerAmongstPossible,BERYL,3
PositionalExplorerAmongstPossible,BESET,5
PositionalExplorerAmongstPossible,BESOM,4
PositionalExplorerAmongstPossible,BESOT,4
PositionalExplorerAmongstPossible,BESTS,5
PositionalExplorerAmongstPossible,BETAS,3
PositionalExplorerAmongstPossible,BETHE,3
PositionalExplorerAmongstPossible,BETSY,4
PositionalExplorerAmongstPossible,BETTE,4
PositionalExplorerAmongstPossible,BETTY,5
PositionalExplorerAmongstPossible,BEVEL,4
PositionalExplorerAmongstPossible,BEYER,5
PositionalExplorerAmongstPossible,BIBLE,3
PositionalExplorerAmongstPossible,BICEP,3
PositionalExplorerAmongstPossible,BIDDY,4
PositionalExplorerAmongstPossible,BIDED,5
PositionalExplorerAmongstPossible,BIDEN,3
PositionalExplorerAmongstPossible,BIDES,5
PositionalExplorerAmongstPossible,BIDET,3
PositionalExplorerAmongstPossible,BIERS,2
PositionalExplorerAmongstPossible,BIGHT,3
PositionalExplorerAmongstPossible,BIGOT,4
PositionalExplorerAmongstPossible,BIKED,4
PositionalExplorerAmongstPossible,BIKER,4
PositionalExplorerAmongstPossible,BIKES,4
PositionalExplorerAmongstPossible,BILBO,4
PositionalExplorerAmongstPossible,BILGE,2
PositionalExplorerAmongstPossible,BILKS,4
PositionalExplorerAmongstPossible,BILLS,4
PositionalExplorerAmongstPossible,BILLY,4
PositionalExplorerAmongstPossible,BIMBO,4
PositionalExplorerAmongstPossible,BINDS,4
PositionalExplorerAmongstPossible,BINGE,3
PositionalExplorerAmongstPossible,BINGO,4
PositionalExplorerAmongstPossible,BIOKO,4
PositionalExplorerAmongstPossible,BIPED,4
PositionalExplorerAmongstPossible,BIRCH,3
PositionalExplorerAmongstPossible,BIRDS,4
PositionalExplorerAmongstPossible,BIRTH,3
PositionalExplorerAmongstPossible,BISON,4
PositionalExplorerAmongstPossible,BITCH,3
PositionalExplorerAmongstPossible,BITES,6
PositionalExplorerAmongstPossible,BIZET,3
PositionalExplorerAmongstPossible,BJORK,4
PositionalExplorerAmongstPossible,BLABS,4
PositionalExplorerAmongstPossible,BLACK,3
PositionalExplorerAmongstPossible,BLADE,3
PositionalExplorerAmongstPossible,BLAIR,3
PositionalExplorerAmongstPossible,BLAKE,4
PositionalExplorerAmongstPossible,BLAME,5
PositionalExplorerAmongstPossible,BLAND,4
PositionalExplorerAmongstPossible,BLANK,3
PositionalExplorerAmongstPossible,BLARE,3
PositionalExplorerAmongstPossible,BLAST,3
PositionalExplorerAmongstPossible,BLATZ,4
PositionalExplorerAmongstPossible,BLAZE,6
PositionalExplorerAmongstPossible,BLEAK,4
PositionalExplorerAmongstPossible,BLEAT,3
PositionalExplorerAmongstPossible,BLEED,5
PositionalExplorerAmongstPossible,BLEEP,5
PositionalExplorerAmongstPossible,BLEND,3
PositionalExplorerAmongstPossible,BLENT,4
PositionalExplorerAmongstPossible,BLESS,4
PositionalExplorerAmongstPossible,BLEST,3
PositionalExplorerAmongstPossible,BLIGH,4
PositionalExplorerAmongstPossible,BLIMP,4
PositionalExplorerAmongstPossible,BLIND,4
PositionalExplorerAmongstPossible,BLING,3
PositionalExplorerAmongstPossible,BLINK,5
PositionalExplorerAmongstPossible,BLIPS,3
PositionalExplorerAmongstPossible,BLISS,4
PositionalExplorerAmongstPossible,BLITZ,3
PositionalExplorerAmongstPossible,BLOAT,3
PositionalExplorerAmongstPossible,BLOBS,5
PositionalExplorerAmongstPossible,BLOCH,4
PositionalExplorerAmongstPossible,BLOCK,4
PositionalExplorerAmongstPossible,BLOCS,3
PositionalExplorerAmongstPossible,BLOGS,3
PositionalExplorerAmongstPossible,BLOND,4
PositionalExplorerAmongstPossible,BLOOD,4
PositionalExplorerAmongstPossible,BLOOM,4
PositionalExplorerAmongstPossible,BLOTS,3
PositionalExplorerAmongstPossible,BLOWN,4
PositionalExplorerAmongstPossible,BLOWS,4
PositionalExplorerAmongstPossible,BLUED,5
PositionalExplorerAmongstPossible,BLUER,5
PositionalExplorerAmongstPossible,BLUES,5
PositionalExplorerAmongstPossible,BLUFF,4
PositionalExplorerAmongstPossible,BLUNT,4
PositionalExplorerAmongstPossible,BLURB,4
PositionalExplorerAmongstPossible,BLURS,4
PositionalExplorerAmongstPossible,BLURT,3
PositionalExplorerAmongstPossible,BLUSH,3
PositionalExplorerAmongstPossible,BOARD,3
PositionalExplorerAmongstPossible,BOARS,3
PositionalExplorerAmongstPossible,BOAST,4
PositionalExplorerAmongstPossible,BOATS,3
PositionalExplorerAmongstPossible,BOBBI,4
PositionalExplorerAmongstPossible,BOBBY,5
PositionalExplorerAmongstPossible,BODED,5
PositionalExplorerAmongstPossible,BODES,4
PositionalExplorerAmongstPossible,BOERS,3
PositionalExplorerAmongstPossible,BOGEY,5
PositionalExplorerAmongstPossible,BOGGY,4
PositionalExplorerAmongstPossible,BOGIE,3
PositionalExplorerAmongstPossible,CANDY,2
PositionalExplorerAmongstPossible,CANED,5
PositionalExplorerAmongstPossible,CANES,4
PositionalExplorerAmongstPossible,CANNY,3
PositionalExplorerAmongstPossible,CANOE,4
PositionalExplorerAmongstPossible,CANON,4
PositionalExplorerAmongstPossible,CANTO,3
PositionalExplorerAmongstPossible,CANTS,4
PositionalExplorerAmongstPossible,CANTU,4
PositionalExplorerAmongstPossible,CAPED,2
PositionalExplorerAmongstPossible,CAPEK,3
