algorithm,word,n_guesses
UnknownLetterExplorerMindingGuessCount,CRAPE,4
UnknownLetterExplorerMindingGuessCount,CRAPS,4
UnknownLetterExplorerMindingGuessCount,CRASH,3
UnknownLetterExplorerMindingGuessCount,CRASS,3
UnknownLetterExplorerMindingGuessCount,CRATE,3
UnknownLetterExplorerMindingGuessCount,CRAVE,4
UnknownLetterExplorerMindingGuessCount,CRAWL,3
UnknownLetterExplorerMindingGuessCount,CRAWS,5
UnknownLetterExplorerMindingGuessCount,CRAZE,4
UnknownLetterExplorerMindingGuessCount,CRAZY,4
UnknownLetterExplorerMindingGuessCount,CREAK,3
UnknownLetterExplorerMindingGuessCount,CREAM,3
UnknownLetterExplorerMindingGuessCount,CRECY,4
UnknownLetterExplorerMindingGuessCount,CREDO,3
UnknownLetterExplorerMindingGuessCount,CREED,3
UnknownLetterExplorerMindingGuessCount,CREEK,4
UnknownLetterExplorerMindingGuessCount,CREEL,4
UnknownLetterExplorerMindingGuessCount,CREEP,4
UnknownLetterExplorerMindingGuessCount,CREON,3
UnknownLetterExplorerMindingGuessCount,CREPE,3
UnknownLetterExplorerMindingGuessCount,CREPT,3
UnknownLetterExplorerMindingGuessCount,CRESS,3
UnknownLetterExplorerMindingGuessCount,CREST,3
UnknownLetterExplorerMindingGuessCount,CRETE,3
UnknownLetterExplorerMindingGuessCount,CREWS,3
UnknownLetterExplorerMindingGuessCount,CRIBS,3
UnknownLetterExplorerMindingGuessCount,CRICK,5
UnknownLetterExplorerMindingGuessCount,CRIED,3
UnknownLetterExplorerMindingGuessCount,CRIER,3
UnknownLetterExplorerMindingGuessCount,CRIES,3
UnknownLetterExplorerMindingGuessCount,CRIME,3
UnknownLetterExplorerMindingGuessCount,CRIMP,4
UnknownLetterExplorerMindingGuessCount,CRISP,3
UnknownLetterExplorerMindingGuessCount,CROAK,3
UnknownLetterExplorerMindingGuessCount,CROAT,3
UnknownLetterExplorerMindingGuessCount,CROCE,4
UnknownLetterExplorerMindingGuessCount,CROCI,4
UnknownLetterExplorerMindingGuessCount,CROCK,5
UnknownLetterExplorerMindingGuessCount,CRONE,4
UnknownLetterExplorerMindingGuessCount,CRONY,4
UnknownLetterExplorerMindingGuessCount,CROOK,4
UnknownLetterExplorerMindingGuessCount,CROON,4
UnknownLetterExplorerMindingGuessCount,CROPS,3
UnknownLetterExplorerMindingGuessCount,CROSS,4
UnknownLetterExplorerMindingGuessCount,CROUP,4
UnknownLetterExplorerMindingGuessCount,CROWD,4
UnknownLetterExplorerMindingGuessCount,CROWN,5
UnknownLetterExplorerMindingGuessCount,CROWS,4
UnknownLetterExplorerMindingGuessCount,CRUDE,3
